lag_min_SSC_after_speed,n,p,rho
-60,3241,2.3671171096852936e-163,0.4524707016064604
-50,3243,6.78598406184025e-165,0.45426503303323496
-40,3245,4.617089972175828e-163,0.45186008360289465
-30,3247,4.3128047777676085e-154,0.4403190084060405
-20,3249,9.415320109206796e-143,0.42511263534238586
-10,3251,3.694737009126199e-130,0.4072889548387042
0,3252,1.387798710638244e-115,0.3853055155999154
10,3251,4.640824472803453e-101,0.36169721274864775
20,3249,1.1450591387093912e-87,0.33804048117989227
30,3247,1.687902212911812e-75,0.31456341251292125
40,3245,1.6263765012843985e-65,0.2935679586186713
50,3243,1.274828456555172e-57,0.27561103741912535
60,3241,7.184793699029248e-50,0.25653224792399903
